,company_name,category_list,funding_total_usd,status,country_code,state_code,funding_rounds,first_funding_at,last_funding_at,homepage_url_new,time_bw_first_rounds,avg_time_bw_rounds,avg_raised_usd,avg_time_bw_rounds_float,time_bw_first_rounds_float,status_new,investor_count,cat_new,Region
10,Babyscripts,health and wellness|mobile health,2100000.0,operating,USA,DC,3,2013-03-11,2015-04-10,1,287 days 00:00:00.000000000,380 days 00:00:00.000000000,700000.0,380.0,287,1,4.0,healthcare,South
11,1Life Healthcare,health and wellness|health care|services,30000000.0,operating,USA,CA,1,2013-03-21,2013-03-21,1,0 days 00:00:00.000000000,,30000000.0,0.0,0,0,5.0,healthcare,West
12,20/20 Gene Systems Inc.,biotechnology|health diagnostics,4345427.0,operating,USA,MD,3,2012-09-25,2015-10-30,1,1093 days 00:00:00.000000000,565 days 00:00:00.000000000,1448475.6666666667,565.0,1093,1,1.0,healthcare,South
13,21st Century Oncology,health and wellness,325000000.0,operating,USA,FL,1,2014-09-26,2014-09-26,1,0 days 00:00:00.000000000,,325000000.0,0.0,0,1,1.0,healthcare,South
14,22nd Century Group,biotechnology,15034750.0,ipo,USA,NY,6,2010-12-28,2014-09-18,1,365 days 00:00:00.000000000,272 days 00:00:00.000000000,2505791.6666666665,272.0,365,1,1.0,biotech,Northeast
15,23andMe,biotechnology|search,227049900.0,operating,USA,CA,8,2005-11-02,2015-07-03,1,700 days 00:00:00.000000000,504 days 06:51:25.714285712,28381237.5,504.0,700,1,17.0,biotech,West
16,2Morrow Inc,application platforms|health and wellness|mobile|mobile health|software,300000.0,operating,USA,WA,2,2014-05-15,2015-03-16,1,305 days 00:00:00.000000000,305 days 00:00:00.000000000,150000.0,305.0,305,1,1.0,healthcare,West
17,2nd Chance Solutions,health and wellness,100000.0,operating,USA,IL,1,2015-01-11,2015-01-11,0,0 days 00:00:00.000000000,,0.0,0.0,0,1,1.0,healthcare,Midwest
18,3-V Biosciences,biotechnology,128477567.0,operating,USA,CA,7,2007-05-22,2015-03-17,1,780 days 00:00:00.000000000,476 days 00:00:00.000000000,18353938.14285714,476.0,780,1,5.0,biotech,West
19,360imaging,biotechnology|dental,1000000.0,operating,USA,GA,2,2011-11-01,2013-01-01,1,427 days 00:00:00.000000000,427 days 00:00:00.000000000,500000.0,427.0,427,0,1.0,biotech,South
20,3ClickEMR Corporation,consumer electronics|electronic health records|health care|ipad|software,500000.0,closed,USA,MA,2,2010-06-23,2011-06-01,1,343 days 00:00:00.000000000,343 days 00:00:00.000000000,250000.0,343.0,343,0,1.0,healthcare,Northeast
21,3D Biomatrix,biotechnology,1465000.0,operating,USA,MI,2,2009-10-05,2013-02-05,1,1219 days 00:00:00.000000000,1219 days 00:00:00.000000000,1465000.0,1219.0,1219,0,1.0,biotech,Midwest
22,"3D Operations, Inc.",3d printing|health and wellness|health care,7500.0,operating,USA,TN,1,2014-05-15,2014-05-15,1,0 days 00:00:00.000000000,,7500.0,0.0,0,1,1.0,healthcare,South
23,3Derm Systems,3d|medical|physicians,1880000.0,operating,USA,CT,4,2013-04-02,2015-07-23,1,210 days 00:00:00.000000000,280 days 16:00:00.000000000,626666.6666666666,280.0,210,1,2.0,medical/pharma,Northeast
24,3DR Laboratories,biotechnology,7436500.0,operating,USA,KY,2,2009-05-29,2012-08-23,1,1182 days 00:00:00.000000000,1182 days 00:00:00.000000000,3718250.0,1182.0,1182,0,1.0,biotech,South
25,3Scan,biotechnology,7063012.0,operating,USA,CA,4,2011-08-31,2014-12-05,1,236 days 00:00:00.000000000,397 days 08:00:00.000000000,2354337.3333333335,397.0,236,1,7.0,biotech,West
26,480 Biomedical,biotechnology,49656999.0,operating,USA,MA,5,2012-02-14,2015-06-19,1,259 days 00:00:00.000000000,305 days 06:00:00.000000000,9931399.8,305.0,259,1,4.0,biotech,Northeast
27,4D Molecular Therapeutics,biotechnology,6999995.0,operating,USA,CA,1,2015-08-13,2015-08-13,1,0 days 00:00:00.000000000,,6999995.0,0.0,0,1,1.0,biotech,West
28,4Tech,biotechnology,7000000.0,operating,USA,MA,1,2011-12-21,2011-12-21,0,0 days 00:00:00.000000000,,7000000.0,0.0,0,0,1.0,biotech,Northeast
29,5i Sciences,healthcare services|life sciences|medical,5955000.0,operating,USA,CA,2,2014-08-11,2014-08-11,1,0 days 00:00:00.000000000,,2977500.0,0.0,0,1,1.0,medical/pharma,West
30,6SensorLabs,health and wellness|specialty foods,8000000.0,operating,USA,CA,2,2014-09-11,2014-09-12,1,1 days 00:00:00.000000000,1 days 00:00:00.000000000,4000000.0,1.0,1,1,6.0,healthcare,West
31,7 Cups of Tea,health and wellness|health care|health services industry,100000.0,operating,USA,VA,2,2013-03-01,2013-09-01,1,184 days 00:00:00.000000000,184 days 00:00:00.000000000,21732739.24,184.0,184,1,5.0,healthcare,South
32,7 Oaks Pharmaceutical,biotechnology,1613014.0,operating,USA,SC,1,2011-06-06,2011-06-06,1,0 days 00:00:00.000000000,,1613014.0,0.0,0,0,1.0,biotech,South
33,80th Street Residence FACC Fund I,health and wellness,5100000.0,operating,USA,CA,1,2011-11-18,2011-11-18,0,0 days 00:00:00.000000000,,5100000.0,0.0,0,0,1.0,healthcare,West
34,8fit - Fitness for the rest of us,exercise|fitness|tracking,2730000.0,operating,USA,CA,3,2014-02-26,2015-08-31,1,124 days 00:00:00.000000000,275 days 12:00:00.000000000,910000.0,275.0,124,1,2.0,healthcare,West
35,A Better Tomorrow Treatment Center,health and wellness,100000.0,operating,USA,CA,1,2014-01-10,2014-01-10,0,0 days 00:00:00.000000000,,21732739.24,0.0,0,1,1.0,healthcare,West
36,A Family First Community Services,health and wellness,500000.0,operating,USA,GA,1,2011-11-01,2011-11-01,1,0 days 00:00:00.000000000,,500000.0,0.0,0,0,1.0,healthcare,South
37,A&G Pharmaceutical,biotechnology,2100002.0,operating,USA,MD,2,2005-09-08,2010-04-27,1,1692 days 00:00:00.000000000,1692 days 00:00:00.000000000,1050001.0,1692.0,1692,1,3.0,biotech,South
38,A-Life Medical,biotechnology,3000000.0,acquired,USA,CA,1,2009-06-03,2009-06-03,1,0 days 00:00:00.000000000,,3000000.0,0.0,0,1,1.0,biotech,West
39,A Little Easier Recovery,charity|financial services|medical,50000.0,operating,USA,MA,1,2013-10-30,2013-10-30,1,0 days 00:00:00.000000000,,50000.0,0.0,0,1,1.0,medical/pharma,Northeast
40,A.P.Pharma,biotechnology,32142818.0,operating,USA,CA,2,2009-11-05,2011-07-11,1,613 days 00:00:00.000000000,613 days 00:00:00.000000000,16071409.0,613.0,613,0,1.0,biotech,West
41,A-Vu Media,health and wellness,250000.0,operating,USA,MN,1,2011-03-07,2011-03-07,1,0 days 00:00:00.000000000,,250000.0,0.0,0,0,1.0,healthcare,Midwest
42,AAIPharma Services,biotechnology,20000000.0,operating,USA,NC,1,2012-01-11,2012-01-11,1,0 days 00:00:00.000000000,,20000000.0,0.0,0,0,1.0,biotech,South
43,Aarden Pharmaceuticals,biotechnology,500000.0,closed,USA,IN,1,2011-01-03,2011-01-03,1,0 days 00:00:00.000000000,,500000.0,0.0,0,0,1.0,biotech,Midwest
44,Aastrom Biosciences,biotechnology,40000000.0,ipo,USA,MI,1,2012-03-09,2012-03-09,1,0 days 00:00:00.000000000,,40000000.0,0.0,0,1,1.0,biotech,Midwest
45,Aavya Health,health and insurance|health and wellness|health care information technology|retail,100000.0,operating,USA,MA,1,2012-08-01,2012-08-01,1,0 days 00:00:00.000000000,,21732739.24,0.0,0,0,1.0,healthcare,Northeast
46,Abbott Labs,biotechnology|health and wellness|medical|venture capital,6790000.0,ipo,USA,IL,2,2009-03-16,2011-03-15,1,729 days 00:00:00.000000000,729 days 00:00:00.000000000,3395000.0,729.0,729,1,1.0,medical/pharma,Midwest
47,abeo,health care,2012700.0,operating,USA,TX,1,2011-11-30,2011-11-30,1,0 days 00:00:00.000000000,,2012700.0,0.0,0,0,1.0,healthcare,South
48,Abeona Therapeutics,biotechnology,12850000.0,operating,USA,OH,3,2013-12-16,2015-07-28,1,350 days 00:00:00.000000000,294 days 12:00:00.000000000,4283333.333333333,294.0,350,1,1.0,biotech,Midwest
49,ABFIT Products,medical,50000.0,operating,USA,TX,1,2010-02-08,2010-02-08,1,0 days 00:00:00.000000000,,14798342.08,0.0,0,0,1.0,medical/pharma,South
50,AbGenomics,biotechnology,39610000.0,operating,USA,CA,3,2012-06-19,2014-08-27,1,394 days 00:00:00.000000000,399 days 12:00:00.000000000,13203333.333333334,399.0,394,1,1.0,biotech,West
51,Abide Therapeutics,biotechnology,2250180.0,operating,USA,NJ,1,2011-11-18,2011-11-18,1,0 days 00:00:00.000000000,,2250180.0,0.0,0,0,1.0,biotech,Northeast
52,Ability Dynamics,health care,1500000.0,operating,USA,AZ,1,2012-02-20,2012-02-20,1,0 days 00:00:00.000000000,,1500000.0,0.0,0,0,1.0,healthcare,West
53,ABILITY Network,health care,583000000.0,operating,USA,MN,4,2006-12-14,2014-04-07,1,18 days 00:00:00.000000000,890 days 08:00:00.000000000,145750000.0,890.0,18,1,4.0,healthcare,Midwest
54,AbilTo,curated web|health and wellness|health care|internet|medical|psychology|teachers|technology|therapeutics|voip|web development,21000000.0,operating,USA,NY,3,2013-05-14,2015-06-09,1,308 days 00:00:00.000000000,378 days 00:00:00.000000000,7000000.0,378.0,308,1,4.0,medical/pharma,Northeast
55,aBioBot,biotechnology|robotics|technology,50000.0,operating,USA,OH,1,2015-02-03,2015-02-03,1,0 days 00:00:00.000000000,,50000.0,0.0,0,1,2.0,biotech,Midwest
56,Abiogenix,fitness|health and wellness|health care|medical devices|medication adherence,250000.0,operating,USA,CA,1,2012-08-15,2012-08-15,1,0 days 00:00:00.000000000,,17042585.6,0.0,0,0,1.0,medical devices,West
57,Ablation Frontiers,innovation engineering|medical|medical devices,21800000.0,acquired,USA,CA,1,2007-07-17,2007-07-17,0,0 days 00:00:00.000000000,,21800000.0,0.0,0,1,7.0,medical devices,West
58,Ablative Solutions,biotechnology,42980577.0,operating,USA,MI,7,2012-01-04,2015-11-12,1,85 days 00:00:00.000000000,234 days 16:00:00.000000000,6140082.428571428,234.0,85,1,3.0,biotech,Midwest
59,Able Imaging,health and wellness,500000.0,operating,USA,NJ,1,2011-03-07,2011-03-07,1,0 days 00:00:00.000000000,,500000.0,0.0,0,0,1.0,healthcare,Northeast
60,Ablexis,biotechnology,12000000.0,operating,USA,CA,1,2010-06-04,2010-06-04,1,0 days 00:00:00.000000000,,12000000.0,0.0,0,0,2.0,biotech,West
61,ABPathfinder,health and wellness,2810000.0,operating,USA,KS,3,2012-12-05,2014-11-26,1,355 days 00:00:00.000000000,360 days 12:00:00.000000000,936666.6666666666,360.0,355,1,4.0,healthcare,Midwest
62,ABS,health care,132500.0,operating,USA,MN,1,2012-09-19,2012-09-19,1,0 days 00:00:00.000000000,,132500.0,0.0,0,0,1.0,healthcare,Midwest
63,ABS Medical,medical,50000.0,operating,USA,MA,1,2014-04-09,2014-04-09,1,0 days 00:00:00.000000000,,14798342.08,0.0,0,1,1.0,medical/pharma,Northeast
64,Absorption Pharmaceuticals,biotechnology,1200000.0,operating,USA,CA,1,2014-02-14,2014-02-14,1,0 days 00:00:00.000000000,,1200000.0,0.0,0,1,1.0,biotech,West
65,ABT Molecular Imaging,health care,28364818.0,operating,USA,TN,10,2009-10-06,2014-04-07,1,107 days 00:00:00.000000000,182 days 16:00:00.000000000,2836481.8,182.0,107,1,5.0,healthcare,South
66,Acacia Living,health and wellness,2338650.0,operating,USA,AZ,1,2013-12-11,2013-12-11,1,0 days 00:00:00.000000000,,2338650.0,0.0,0,1,1.0,healthcare,West
67,ACADIA Pharmaceuticals,biotechnology|health care,126385000.0,ipo,USA,CA,3,2003-03-31,2013-01-02,1,2843 days 00:00:00.000000000,1782 days 12:00:00.000000000,42128333.333333336,1782.0,2843,1,8.0,healthcare,West
68,Accel Diagnostics,diagnostics|health care|health diagnostics|medical devices,25000.0,operating,USA,PA,3,2012-02-10,2015-01-14,1,440 days 00:00:00.000000000,534 days 12:00:00.000000000,25000.0,534.0,440,1,2.0,medical devices,Northeast
69,Accelalox,biotechnology,430000.0,operating,USA,CA,1,2009-10-10,2009-10-10,1,0 days 00:00:00.000000000,,430000.0,0.0,0,0,1.0,biotech,West
70,AcceleCare Wound Centers,health care|hospitals|medical,13500000.0,acquired,USA,WA,2,2007-07-03,2007-12-11,1,161 days 00:00:00.000000000,161 days 00:00:00.000000000,6750000.0,161.0,161,1,3.0,medical/pharma,West
71,Accelera Innovations,health and wellness,200000000.0,ipo,USA,IL,1,2013-10-24,2013-10-24,1,0 days 00:00:00.000000000,,200000000.0,0.0,0,1,1.0,healthcare,Midwest
72,Accelerate Diagnostics,health care|health diagnostics|medical devices,63016244.0,ipo,USA,AZ,4,2010-03-23,2014-05-05,1,847 days 00:00:00.000000000,501 days 08:00:00.000000000,15754061.0,501.0,847,1,1.0,medical devices,West
73,Accelerated Orthopedic Technologies,health care,150000.0,closed,USA,CT,1,2012-05-18,2012-05-18,1,0 days 00:00:00.000000000,,150000.0,0.0,0,0,1.0,healthcare,Northeast
74,Accelerated Pharma,pharmaceuticals,2549999.0,operating,USA,IL,2,2015-06-04,2015-11-23,0,172 days 00:00:00.000000000,172 days 00:00:00.000000000,1274999.5,172.0,172,1,1.0,medical/pharma,Midwest
75,Accelerated Technologies,medical|medical devices|technology,32000000.0,closed,USA,NY,1,2004-01-07,2004-01-07,0,0 days 00:00:00.000000000,,32000000.0,0.0,0,0,2.0,medical devices,Northeast
76,Acceleron Pharma,biotechnology,113701127.0,ipo,USA,MA,6,2006-08-02,2011-12-23,1,425 days 00:00:00.000000000,393 days 19:12:00.000000000,18950187.833333332,393.0,425,1,10.0,biotech,Northeast
77,Accendo Therapeutics,health and wellness,4000000.0,operating,USA,CA,1,2011-12-29,2011-12-29,0,0 days 00:00:00.000000000,,4000000.0,0.0,0,0,1.0,healthcare,West
78,Accentia Biopharmaceuticals Inc,biotechnology|health and wellness,775000.0,ipo,USA,FL,2,2012-02-08,2013-06-25,1,503 days 00:00:00.000000000,503 days 00:00:00.000000000,387500.0,503.0,503,1,1.0,healthcare,South
79,Accera,biotechnology,138581610.0,operating,USA,CO,5,2004-09-16,2013-10-25,1,699 days 00:00:00.000000000,831 days 12:00:00.000000000,27716322.0,831.0,699,1,2.0,biotech,West
80,Access Closure,health care,13793098.0,acquired,USA,CA,3,2010-03-03,2012-10-01,1,669 days 00:00:00.000000000,471 days 12:00:00.000000000,4597699.333333333,471.0,669,1,3.0,healthcare,West
81,Access Integrated Healthcare,health and wellness|health care|services,58500000.0,operating,USA,CA,2,2015-04-24,2015-09-30,1,159 days 00:00:00.000000000,159 days 00:00:00.000000000,29250000.0,159.0,159,1,2.0,healthcare,West
82,Access MediQuip,health care,46900000.0,operating,USA,FL,1,2013-01-13,2013-01-13,1,0 days 00:00:00.000000000,,46900000.0,0.0,0,0,1.0,healthcare,South
83,Access Pharmaceuticals,biotechnology,15581502.0,closed,USA,TX,2,2011-11-14,2012-11-06,1,358 days 00:00:00.000000000,358 days 00:00:00.000000000,7790751.0,358.0,358,0,1.0,biotech,South
84,Access Psychiatry Solutions,biotechnology,250000.0,operating,USA,WA,1,2011-05-20,2011-05-20,1,0 days 00:00:00.000000000,,250000.0,0.0,0,0,1.0,biotech,West
85,Access Scientific,health care,21376001.0,acquired,USA,CA,6,2009-10-06,2012-06-21,1,248 days 00:00:00.000000000,197 days 19:12:00.000000000,3562666.8333333335,197.0,248,1,1.0,healthcare,West
86,Accessbio,biotechnology,12000000.0,operating,USA,NJ,1,2011-05-25,2011-05-25,1,0 days 00:00:00.000000000,,12000000.0,0.0,0,0,1.0,biotech,Northeast
87,Inherited Health,health and wellness,1155000.0,acquired,USA,CA,2,2008-01-01,2009-08-01,1,578 days 00:00:00.000000000,578 days 00:00:00.000000000,577500.0,578.0,578,1,1.0,healthcare,West
88,Acclarent,biotechnology|medical,35000000.0,acquired,USA,CA,1,2007-04-23,2007-04-23,1,0 days 00:00:00.000000000,,35000000.0,0.0,0,1,4.0,medical/pharma,West
89,Acclaris Holdings,development platforms|health care|software,5000000.0,acquired,USA,FL,1,2004-07-21,2004-07-21,1,0 days 00:00:00.000000000,,5000000.0,0.0,0,1,1.0,healthcare,South
90,Accolade,health and wellness|health care|healthcare services,96244444.0,operating,USA,PA,6,2007-02-01,2015-07-16,1,1085 days 00:00:00.000000000,617 days 09:36:00.000000000,16040740.666666666,617.0,1085,1,6.0,healthcare,Northeast
91,Accord Biomaterials,biotechnology,1200000.0,operating,USA,MI,1,2010-10-21,2010-10-21,1,0 days 00:00:00.000000000,,1200000.0,0.0,0,0,1.0,biotech,Midwest
92,Accordion Health,big data analytics|health care information technology|saas,150000.0,closed,USA,TX,1,2014-07-02,2014-07-02,1,0 days 00:00:00.000000000,,150000.0,0.0,0,0,1.0,healthcare,South
93,Accountable,b2b|cloud computing|enterprises|health and wellness|health care|network security|saas,158000.0,operating,USA,SC,2,2013-08-01,2014-08-18,1,382 days 00:00:00.000000000,382 days 00:00:00.000000000,158000.0,382.0,382,1,2.0,healthcare,South
94,Accriva Diagnostics,medical devices,15470704.0,operating,USA,CA,2,2010-11-01,2015-03-10,1,1590 days 00:00:00.000000000,1590 days 00:00:00.000000000,15470704.0,1590.0,1590,1,1.0,medical devices,West
95,Accu-Break Pharmaceuticals,biotechnology,6650000.0,operating,USA,FL,2,2007-06-01,2013-05-21,1,2181 days 00:00:00.000000000,2181 days 00:00:00.000000000,3325000.0,2181.0,2181,0,3.0,biotech,South
96,Accudial Pharmaceutical,biotechnology,12024769.0,operating,USA,FL,3,2010-05-27,2013-05-30,1,873 days 00:00:00.000000000,549 days 12:00:00.000000000,4008256.3333333335,549.0,873,0,1.0,biotech,South
97,Accuhealth Partners,health and wellness,760000.0,operating,USA,KS,1,2011-02-21,2011-02-21,1,0 days 00:00:00.000000000,,760000.0,0.0,0,0,1.0,healthcare,Midwest
98,Accuitis,health and wellness,1495000.0,operating,USA,GA,2,2015-03-20,2015-11-23,1,248 days 00:00:00.000000000,248 days 00:00:00.000000000,747500.0,248.0,248,1,2.0,healthcare,South
99,AccuMED Technologies,medical,50000.0,operating,USA,NY,1,2014-10-24,2014-10-24,1,0 days 00:00:00.000000000,,14798342.08,0.0,0,1,2.0,medical/pharma,Northeast
100,Accumen,health care|hospitals,6700000.0,operating,USA,CA,1,2011-06-01,2011-06-01,1,0 days 00:00:00.000000000,,6700000.0,0.0,0,0,1.0,healthcare,West
101,Accumetrics,biotechnology,110640466.0,acquired,USA,CA,9,2003-05-16,2013-08-30,1,412 days 00:00:00.000000000,469 days 21:00:00.000000000,13830058.25,469.0,412,1,16.0,biotech,West
102,Accupal,medical,50000.0,operating,USA,AR,1,2008-10-02,2008-10-02,1,0 days 00:00:00.000000000,,14798342.08,0.0,0,0,1.0,medical/pharma,South
103,Accuri Cytometers,biotechnology,32655000.0,operating,USA,MI,8,2005-03-01,2010-10-19,1,184 days 00:00:00.000000000,294 days 00:00:00.000000000,4081875.0,294.0,184,1,8.0,biotech,Midwest
104,ACE,biotechnology|medical,1245092.0,operating,USA,PA,3,2010-05-17,2014-06-20,1,497 days 00:00:00.000000000,747 days 12:00:00.000000000,415030.6666666667,747.0,497,1,1.0,medical/pharma,Northeast
105,ACEA BIO,biotechnology,30000000.0,operating,USA,CA,1,2015-11-09,2015-11-09,1,0 days 00:00:00.000000000,,30000000.0,0.0,0,1,2.0,biotech,West
106,ACell,health and wellness,8700000.0,operating,USA,MD,1,2011-04-26,2011-04-26,1,0 days 00:00:00.000000000,,8700000.0,0.0,0,0,1.0,healthcare,South
107,AcelRx Pharmaceuticals,biotechnology|health care,93654902.0,ipo,USA,CA,5,2009-11-23,2013-12-19,1,302 days 00:00:00.000000000,371 days 18:00:00.000000000,18730980.4,371.0,302,1,1.0,healthcare,West
108,Acer Therapeutics,pharmaceuticals,2100000.0,operating,USA,MA,1,2015-04-02,2015-04-02,1,0 days 00:00:00.000000000,,2100000.0,0.0,0,1,1.0,medical/pharma,Northeast
109,Acera Surgical,health care,600000.0,operating,USA,MO,1,2013-08-08,2013-08-08,1,0 days 00:00:00.000000000,,600000.0,0.0,0,1,1.0,healthcare,Midwest
110,Acerta Pharma,biotechnology,1000000.0,closed,USA,CA,1,2013-03-14,2013-03-14,1,0 days 00:00:00.000000000,,24514914.83,0.0,0,0,2.0,biotech,West
111,Acesis,health care|physicians|software,3638201.0,operating,USA,CA,1,2010-04-30,2010-04-30,1,0 days 00:00:00.000000000,,3638201.0,0.0,0,0,1.0,healthcare,West
112,Acetylon Pharmaceuticals,biotechnology,151250000.0,operating,USA,MA,6,2009-08-01,2013-07-29,1,160 days 00:00:00.000000000,291 days 14:24:00.000000000,25208333.333333332,291.0,160,1,2.0,biotech,Northeast
113,Achaogen,biotechnology|health care,116605707.0,ipo,USA,CA,4,2004-08-01,2013-03-22,1,800 days 00:00:00.000000000,1051 days 16:00:00.000000000,29151426.75,1051.0,800,1,8.0,healthcare,West
114,Achelios Therapeutics,biotechnology,3170442.0,operating,USA,NC,1,2014-03-14,2014-03-14,1,0 days 00:00:00.000000000,,3170442.0,0.0,0,1,1.0,biotech,South
115,The Activity Exchange (AchieveMint),health and wellness|health care|mhealth|mobile,100000.0,operating,USA,CA,1,2012-01-01,2012-01-01,1,0 days 00:00:00.000000000,,21732739.24,0.0,0,0,3.0,healthcare,West
116,Achillion Pharmaceuticals,biotechnology|health care,91100000.0,ipo,USA,CT,2,2002-01-28,2010-08-18,1,3124 days 00:00:00.000000000,3124 days 00:00:00.000000000,45550000.0,3124.0,3124,1,15.0,healthcare,Northeast
117,Aciex Therapeutics,biotechnology,9599860.0,acquired,USA,MA,3,2007-09-01,2014-04-24,1,1441 days 00:00:00.000000000,1213 days 12:00:00.000000000,4799930.0,1213.0,1441,1,1.0,biotech,Northeast
118,Aclaris Therapeutics,biotechnology,82000000.0,ipo,USA,PA,3,2012-10-24,2015-09-09,1,708 days 00:00:00.000000000,525 days 00:00:00.000000000,27333333.333333332,525.0,708,1,10.0,biotech,Northeast
119,Acologix,biotechnology,40000000.0,operating,USA,CA,1,2004-05-04,2004-05-04,1,0 days 00:00:00.000000000,,40000000.0,0.0,0,1,4.0,biotech,West
120,Acorda Therapeutics,biotechnology|health care,76800000.0,ipo,USA,NY,3,2003-05-20,2006-11-29,1,289 days 00:00:00.000000000,644 days 12:00:00.000000000,25600000.0,644.0,289,1,8.0,healthcare,Northeast
121,Acrinta,fitness|health and wellness,130000.0,operating,USA,PA,1,2012-06-12,2012-06-12,1,0 days 00:00:00.000000000,,130000.0,0.0,0,0,1.0,healthcare,Northeast
122,ACS Global,biotechnology,3162000.0,ipo,USA,NJ,2,2011-04-28,2011-07-01,1,64 days 00:00:00.000000000,64 days 00:00:00.000000000,1581000.0,64.0,64,1,1.0,biotech,Northeast
123,ACT Biotech,biotechnology|health and wellness|medical|pharmaceuticals,26980000.0,operating,USA,CA,6,2008-05-06,2010-06-11,1,125 days 00:00:00.000000000,153 days 04:48:00.000000000,4496666.666666667,153.0,125,0,1.0,medical/pharma,West
124,Actimis Pharmaceuticals,biotechnology,15600000.0,acquired,USA,CA,2,2005-04-28,2008-06-06,1,1135 days 00:00:00.000000000,1135 days 00:00:00.000000000,7800000.0,1135.0,1135,1,2.0,biotech,West
125,Actinium Pharmaceuticals,biotechnology,7000720.0,ipo,USA,NY,2,2011-11-03,2014-01-21,1,810 days 00:00:00.000000000,810 days 00:00:00.000000000,3500360.0,810.0,810,1,1.0,biotech,Northeast
126,Actinobac Biomed,biotechnology,600000.0,operating,USA,NJ,2,2009-03-20,2013-02-21,1,1434 days 00:00:00.000000000,1434 days 00:00:00.000000000,300000.0,1434.0,1434,0,1.0,biotech,Northeast
127,Activaided Orthotics,fitness|medical|training,25000.0,operating,USA,PA,4,2012-02-10,2013-09-22,1,280 days 00:00:00.000000000,196 days 16:00:00.000000000,25000.0,196.0,280,1,2.0,medical/pharma,Northeast
128,Activate Healthcare,health care,950000.0,operating,USA,IN,3,2012-01-06,2015-06-29,1,971 days 00:00:00.000000000,635 days 00:00:00.000000000,950000.0,635.0,971,1,1.0,healthcare,Midwest
129,Activation Life,biotechnology,40000.0,operating,USA,MN,1,2013-05-15,2013-05-15,1,0 days 00:00:00.000000000,,40000.0,0.0,0,0,1.0,biotech,Midwest
130,Active Implants,biotechnology,99717506.0,operating,USA,TN,11,2004-12-23,2013-08-28,1,504 days 00:00:00.000000000,317 days 00:00:00.000000000,9065227.818181818,317.0,504,1,1.0,biotech,South
131,Active Life Scientific,biotechnology,925000.0,operating,USA,CA,3,2010-04-20,2013-05-16,1,90 days 00:00:00.000000000,561 days 00:00:00.000000000,308333.3333333333,561.0,90,0,1.0,biotech,West
132,ActiveO,health and wellness,600000.0,operating,USA,NV,1,2010-06-15,2010-06-15,1,0 days 00:00:00.000000000,,600000.0,0.0,0,0,1.0,healthcare,West
133,Acton Pharmaceuticals,biotechnology,36700005.0,acquired,USA,MA,4,2009-12-16,2013-05-21,1,21 days 00:00:00.000000000,417 days 08:00:00.000000000,9175001.25,417.0,21,1,1.0,biotech,Northeast
134,ActualMeds,health care,550000.0,operating,USA,CT,2,2011-10-26,2014-05-16,1,933 days 00:00:00.000000000,933 days 00:00:00.000000000,275000.0,933.0,933,1,2.0,healthcare,Northeast
