,company_name,category_list,funding_total_usd,status,country_code,state_code,funding_rounds,first_funding_at,last_funding_at,homepage_url_new,time_bw_first_rounds,avg_time_bw_rounds,avg_raised_usd,avg_time_bw_rounds_float,time_bw_first_rounds_float,status_new,investor_count,cat_new,Region
10,Babyscripts,health and wellness|mobile health,2100000,operating,USA,DC,3,3/11/2013,4/10/2015,1,287 days 00:00:00.000000000,380 days 00:00:00.000000000,700000,380,287,1,4,healthcare,South
11,1Life Healthcare,health and wellness|health care|services,30000000,operating,USA,CA,1,3/21/2013,3/21/2013,1,0 days 00:00:00.000000000,,30000000,0,0,0,5,healthcare,West
12,20/20 Gene Systems Inc.,biotechnology|health diagnostics,4345427,operating,USA,MD,3,9/25/2012,10/30/2015,1,1093 days 00:00:00.000000000,565 days 00:00:00.000000000,1448475.667,565,1093,1,1,healthcare,South
13,21st Century Oncology,health and wellness,325000000,operating,USA,FL,1,9/26/2014,9/26/2014,1,0 days 00:00:00.000000000,,325000000,0,0,1,1,healthcare,South
14,22nd Century Group,biotechnology,15034750,ipo,USA,NY,6,12/28/2010,9/18/2014,1,365 days 00:00:00.000000000,272 days 00:00:00.000000000,2505791.667,272,365,1,1,biotech,Northeast
15,23andMe,biotechnology|search,227049900,operating,USA,CA,8,11/2/2005,7/3/2015,1,700 days 00:00:00.000000000,504 days 06:51:25.714285712,28381237.5,504,700,1,17,biotech,West
16,2Morrow Inc,application platforms|health and wellness|mobile|mobile health|software,300000,operating,USA,WA,2,5/15/2014,3/16/2015,1,305 days 00:00:00.000000000,305 days 00:00:00.000000000,150000,305,305,1,1,healthcare,West
17,2nd Chance Solutions,health and wellness,100000,operating,USA,IL,1,1/11/2015,1/11/2015,0,0 days 00:00:00.000000000,,0,0,0,1,1,healthcare,Midwest
18,3-V Biosciences,biotechnology,128477567,operating,USA,CA,7,5/22/2007,3/17/2015,1,780 days 00:00:00.000000000,476 days 00:00:00.000000000,18353938.14,476,780,1,5,biotech,West
19,360imaging,biotechnology|dental,1000000,operating,USA,GA,2,11/1/2011,1/1/2013,1,427 days 00:00:00.000000000,427 days 00:00:00.000000000,500000,427,427,0,1,biotech,South
20,3ClickEMR Corporation,consumer electronics|electronic health records|health care|ipad|software,500000,closed,USA,MA,2,6/23/2010,6/1/2011,1,343 days 00:00:00.000000000,343 days 00:00:00.000000000,250000,343,343,0,1,healthcare,Northeast
21,3D Biomatrix,biotechnology,1465000,operating,USA,MI,2,10/5/2009,2/5/2013,1,1219 days 00:00:00.000000000,1219 days 00:00:00.000000000,1465000,1219,1219,0,1,biotech,Midwest
22,"3D Operations, Inc.",3d printing|health and wellness|health care,7500,operating,USA,TN,1,5/15/2014,5/15/2014,1,0 days 00:00:00.000000000,,7500,0,0,1,1,healthcare,South
23,3Derm Systems,3d|medical|physicians,1880000,operating,USA,CT,4,4/2/2013,7/23/2015,1,210 days 00:00:00.000000000,280 days 16:00:00.000000000,626666.6667,280,210,1,2,medical/pharma,Northeast
24,3DR Laboratories,biotechnology,7436500,operating,USA,KY,2,5/29/2009,8/23/2012,1,1182 days 00:00:00.000000000,1182 days 00:00:00.000000000,3718250,1182,1182,0,1,biotech,South
25,3Scan,biotechnology,7063012,operating,USA,CA,4,8/31/2011,12/5/2014,1,236 days 00:00:00.000000000,397 days 08:00:00.000000000,2354337.333,397,236,1,7,biotech,West
26,480 Biomedical,biotechnology,49656999,operating,USA,MA,5,2/14/2012,6/19/2015,1,259 days 00:00:00.000000000,305 days 06:00:00.000000000,9931399.8,305,259,1,4,biotech,Northeast
27,4D Molecular Therapeutics,biotechnology,6999995,operating,USA,CA,1,8/13/2015,8/13/2015,1,0 days 00:00:00.000000000,,6999995,0,0,1,1,biotech,West
28,4Tech,biotechnology,7000000,operating,USA,MA,1,12/21/2011,12/21/2011,0,0 days 00:00:00.000000000,,7000000,0,0,0,1,biotech,Northeast
29,5i Sciences,healthcare services|life sciences|medical,5955000,operating,USA,CA,2,8/11/2014,8/11/2014,1,0 days 00:00:00.000000000,,2977500,0,0,1,1,medical/pharma,West
30,6SensorLabs,health and wellness|specialty foods,8000000,operating,USA,CA,2,9/11/2014,9/12/2014,1,1 days 00:00:00.000000000,1 days 00:00:00.000000000,4000000,1,1,1,6,healthcare,West
31,7 Cups of Tea,health and wellness|health care|health services industry,100000,operating,USA,VA,2,3/1/2013,9/1/2013,1,184 days 00:00:00.000000000,184 days 00:00:00.000000000,21732739.24,184,184,1,5,healthcare,South
32,7 Oaks Pharmaceutical,biotechnology,1613014,operating,USA,SC,1,6/6/2011,6/6/2011,1,0 days 00:00:00.000000000,,1613014,0,0,0,1,biotech,South
33,80th Street Residence FACC Fund I,health and wellness,5100000,operating,USA,CA,1,11/18/2011,11/18/2011,0,0 days 00:00:00.000000000,,5100000,0,0,0,1,healthcare,West
34,8fit - Fitness for the rest of us,exercise|fitness|tracking,2730000,operating,USA,CA,3,2/26/2014,8/31/2015,1,124 days 00:00:00.000000000,275 days 12:00:00.000000000,910000,275,124,1,2,healthcare,West
35,A Better Tomorrow Treatment Center,health and wellness,100000,operating,USA,CA,1,1/10/2014,1/10/2014,0,0 days 00:00:00.000000000,,21732739.24,0,0,1,1,healthcare,West
36,A Family First Community Services,health and wellness,500000,operating,USA,GA,1,11/1/2011,11/1/2011,1,0 days 00:00:00.000000000,,500000,0,0,0,1,healthcare,South
37,A&G Pharmaceutical,biotechnology,2100002,operating,USA,MD,2,9/8/2005,4/27/2010,1,1692 days 00:00:00.000000000,1692 days 00:00:00.000000000,1050001,1692,1692,1,3,biotech,South
38,A-Life Medical,biotechnology,3000000,acquired,USA,CA,1,6/3/2009,6/3/2009,1,0 days 00:00:00.000000000,,3000000,0,0,1,1,biotech,West
39,A Little Easier Recovery,charity|financial services|medical,50000,operating,USA,MA,1,10/30/2013,10/30/2013,1,0 days 00:00:00.000000000,,50000,0,0,1,1,medical/pharma,Northeast
40,A.P.Pharma,biotechnology,32142818,operating,USA,CA,2,11/5/2009,7/11/2011,1,613 days 00:00:00.000000000,613 days 00:00:00.000000000,16071409,613,613,0,1,biotech,West
41,A-Vu Media,health and wellness,250000,operating,USA,MN,1,3/7/2011,3/7/2011,1,0 days 00:00:00.000000000,,250000,0,0,0,1,healthcare,Midwest
42,AAIPharma Services,biotechnology,20000000,operating,USA,NC,1,1/11/2012,1/11/2012,1,0 days 00:00:00.000000000,,20000000,0,0,0,1,biotech,South
43,Aarden Pharmaceuticals,biotechnology,500000,closed,USA,IN,1,1/3/2011,1/3/2011,1,0 days 00:00:00.000000000,,500000,0,0,0,1,biotech,Midwest
44,Aastrom Biosciences,biotechnology,40000000,ipo,USA,MI,1,3/9/2012,3/9/2012,1,0 days 00:00:00.000000000,,40000000,0,0,1,1,biotech,Midwest
45,Aavya Health,health and insurance|health and wellness|health care information technology|retail,100000,operating,USA,MA,1,8/1/2012,8/1/2012,1,0 days 00:00:00.000000000,,21732739.24,0,0,0,1,healthcare,Northeast
46,Abbott Labs,biotechnology|health and wellness|medical|venture capital,6790000,ipo,USA,IL,2,3/16/2009,3/15/2011,1,729 days 00:00:00.000000000,729 days 00:00:00.000000000,3395000,729,729,1,1,medical/pharma,Midwest
47,abeo,health care,2012700,operating,USA,TX,1,11/30/2011,11/30/2011,1,0 days 00:00:00.000000000,,2012700,0,0,0,1,healthcare,South
48,Abeona Therapeutics,biotechnology,12850000,operating,USA,OH,3,12/16/2013,7/28/2015,1,350 days 00:00:00.000000000,294 days 12:00:00.000000000,4283333.333,294,350,1,1,biotech,Midwest
49,ABFIT Products,medical,50000,operating,USA,TX,1,2/8/2010,2/8/2010,1,0 days 00:00:00.000000000,,14798342.08,0,0,0,1,medical/pharma,South
50,AbGenomics,biotechnology,39610000,operating,USA,CA,3,6/19/2012,8/27/2014,1,394 days 00:00:00.000000000,399 days 12:00:00.000000000,13203333.33,399,394,1,1,biotech,West
51,Abide Therapeutics,biotechnology,2250180,operating,USA,NJ,1,11/18/2011,11/18/2011,1,0 days 00:00:00.000000000,,2250180,0,0,0,1,biotech,Northeast
52,Ability Dynamics,health care,1500000,operating,USA,AZ,1,2/20/2012,2/20/2012,1,0 days 00:00:00.000000000,,1500000,0,0,0,1,healthcare,West
53,ABILITY Network,health care,583000000,operating,USA,MN,4,12/14/2006,4/7/2014,1,18 days 00:00:00.000000000,890 days 08:00:00.000000000,145750000,890,18,1,4,healthcare,Midwest
54,AbilTo,curated web|health and wellness|health care|internet|medical|psychology|teachers|technology|therapeutics|voip|web development,21000000,operating,USA,NY,3,5/14/2013,6/9/2015,1,308 days 00:00:00.000000000,378 days 00:00:00.000000000,7000000,378,308,1,4,medical/pharma,Northeast
55,aBioBot,biotechnology|robotics|technology,50000,operating,USA,OH,1,2/3/2015,2/3/2015,1,0 days 00:00:00.000000000,,50000,0,0,1,2,biotech,Midwest
56,Abiogenix,fitness|health and wellness|health care|medical devices|medication adherence,250000,operating,USA,CA,1,8/15/2012,8/15/2012,1,0 days 00:00:00.000000000,,17042585.6,0,0,0,1,medical devices,West
57,Ablation Frontiers,innovation engineering|medical|medical devices,21800000,acquired,USA,CA,1,7/17/2007,7/17/2007,0,0 days 00:00:00.000000000,,21800000,0,0,1,7,medical devices,West
58,Ablative Solutions,biotechnology,42980577,operating,USA,MI,7,1/4/2012,11/12/2015,1,85 days 00:00:00.000000000,234 days 16:00:00.000000000,6140082.429,234,85,1,3,biotech,Midwest
59,Able Imaging,health and wellness,500000,operating,USA,NJ,1,3/7/2011,3/7/2011,1,0 days 00:00:00.000000000,,500000,0,0,0,1,healthcare,Northeast
60,Ablexis,biotechnology,12000000,operating,USA,CA,1,6/4/2010,6/4/2010,1,0 days 00:00:00.000000000,,12000000,0,0,0,2,biotech,West
61,ABPathfinder,health and wellness,2810000,operating,USA,KS,3,12/5/2012,11/26/2014,1,355 days 00:00:00.000000000,360 days 12:00:00.000000000,936666.6667,360,355,1,4,healthcare,Midwest
62,ABS,health care,132500,operating,USA,MN,1,9/19/2012,9/19/2012,1,0 days 00:00:00.000000000,,132500,0,0,0,1,healthcare,Midwest
63,ABS Medical,medical,50000,operating,USA,MA,1,4/9/2014,4/9/2014,1,0 days 00:00:00.000000000,,14798342.08,0,0,1,1,medical/pharma,Northeast
64,Absorption Pharmaceuticals,biotechnology,1200000,operating,USA,CA,1,2/14/2014,2/14/2014,1,0 days 00:00:00.000000000,,1200000,0,0,1,1,biotech,West
65,ABT Molecular Imaging,health care,28364818,operating,USA,TN,10,10/6/2009,4/7/2014,1,107 days 00:00:00.000000000,182 days 16:00:00.000000000,2836481.8,182,107,1,5,healthcare,South
66,Acacia Living,health and wellness,2338650,operating,USA,AZ,1,12/11/2013,12/11/2013,1,0 days 00:00:00.000000000,,2338650,0,0,1,1,healthcare,West
67,ACADIA Pharmaceuticals,biotechnology|health care,126385000,ipo,USA,CA,3,3/31/2003,1/2/2013,1,2843 days 00:00:00.000000000,1782 days 12:00:00.000000000,42128333.33,1782,2843,1,8,healthcare,West
68,Accel Diagnostics,diagnostics|health care|health diagnostics|medical devices,25000,operating,USA,PA,3,2/10/2012,1/14/2015,1,440 days 00:00:00.000000000,534 days 12:00:00.000000000,25000,534,440,1,2,medical devices,Northeast
69,Accelalox,biotechnology,430000,operating,USA,CA,1,10/10/2009,10/10/2009,1,0 days 00:00:00.000000000,,430000,0,0,0,1,biotech,West
70,AcceleCare Wound Centers,health care|hospitals|medical,13500000,acquired,USA,WA,2,7/3/2007,12/11/2007,1,161 days 00:00:00.000000000,161 days 00:00:00.000000000,6750000,161,161,1,3,medical/pharma,West
71,Accelera Innovations,health and wellness,200000000,ipo,USA,IL,1,10/24/2013,10/24/2013,1,0 days 00:00:00.000000000,,200000000,0,0,1,1,healthcare,Midwest
72,Accelerate Diagnostics,health care|health diagnostics|medical devices,63016244,ipo,USA,AZ,4,3/23/2010,5/5/2014,1,847 days 00:00:00.000000000,501 days 08:00:00.000000000,15754061,501,847,1,1,medical devices,West
73,Accelerated Orthopedic Technologies,health care,150000,closed,USA,CT,1,5/18/2012,5/18/2012,1,0 days 00:00:00.000000000,,150000,0,0,0,1,healthcare,Northeast
74,Accelerated Pharma,pharmaceuticals,2549999,operating,USA,IL,2,6/4/2015,11/23/2015,0,172 days 00:00:00.000000000,172 days 00:00:00.000000000,1274999.5,172,172,1,1,medical/pharma,Midwest
75,Accelerated Technologies,medical|medical devices|technology,32000000,closed,USA,NY,1,1/7/2004,1/7/2004,0,0 days 00:00:00.000000000,,32000000,0,0,0,2,medical devices,Northeast
76,Acceleron Pharma,biotechnology,113701127,ipo,USA,MA,6,8/2/2006,12/23/2011,1,425 days 00:00:00.000000000,393 days 19:12:00.000000000,18950187.83,393,425,1,10,biotech,Northeast
77,Accendo Therapeutics,health and wellness,4000000,operating,USA,CA,1,12/29/2011,12/29/2011,0,0 days 00:00:00.000000000,,4000000,0,0,0,1,healthcare,West
78,Accentia Biopharmaceuticals Inc,biotechnology|health and wellness,775000,ipo,USA,FL,2,2/8/2012,6/25/2013,1,503 days 00:00:00.000000000,503 days 00:00:00.000000000,387500,503,503,1,1,healthcare,South
79,Accera,biotechnology,138581610,operating,USA,CO,5,9/16/2004,10/25/2013,1,699 days 00:00:00.000000000,831 days 12:00:00.000000000,27716322,831,699,1,2,biotech,West
80,Access Closure,health care,13793098,acquired,USA,CA,3,3/3/2010,10/1/2012,1,669 days 00:00:00.000000000,471 days 12:00:00.000000000,4597699.333,471,669,1,3,healthcare,West
81,Access Integrated Healthcare,health and wellness|health care|services,58500000,operating,USA,CA,2,4/24/2015,9/30/2015,1,159 days 00:00:00.000000000,159 days 00:00:00.000000000,29250000,159,159,1,2,healthcare,West
82,Access MediQuip,health care,46900000,operating,USA,FL,1,1/13/2013,1/13/2013,1,0 days 00:00:00.000000000,,46900000,0,0,0,1,healthcare,South
83,Access Pharmaceuticals,biotechnology,15581502,closed,USA,TX,2,11/14/2011,11/6/2012,1,358 days 00:00:00.000000000,358 days 00:00:00.000000000,7790751,358,358,0,1,biotech,South
84,Access Psychiatry Solutions,biotechnology,250000,operating,USA,WA,1,5/20/2011,5/20/2011,1,0 days 00:00:00.000000000,,250000,0,0,0,1,biotech,West
85,Access Scientific,health care,21376001,acquired,USA,CA,6,10/6/2009,6/21/2012,1,248 days 00:00:00.000000000,197 days 19:12:00.000000000,3562666.833,197,248,1,1,healthcare,West
86,Accessbio,biotechnology,12000000,operating,USA,NJ,1,5/25/2011,5/25/2011,1,0 days 00:00:00.000000000,,12000000,0,0,0,1,biotech,Northeast
87,Inherited Health,health and wellness,1155000,acquired,USA,CA,2,1/1/2008,8/1/2009,1,578 days 00:00:00.000000000,578 days 00:00:00.000000000,577500,578,578,1,1,healthcare,West
88,Acclarent,biotechnology|medical,35000000,acquired,USA,CA,1,4/23/2007,4/23/2007,1,0 days 00:00:00.000000000,,35000000,0,0,1,4,medical/pharma,West
89,Acclaris Holdings,development platforms|health care|software,5000000,acquired,USA,FL,1,7/21/2004,7/21/2004,1,0 days 00:00:00.000000000,,5000000,0,0,1,1,healthcare,South
90,Accolade,health and wellness|health care|healthcare services,96244444,operating,USA,PA,6,2/1/2007,7/16/2015,1,1085 days 00:00:00.000000000,617 days 09:36:00.000000000,16040740.67,617,1085,1,6,healthcare,Northeast
91,Accord Biomaterials,biotechnology,1200000,operating,USA,MI,1,10/21/2010,10/21/2010,1,0 days 00:00:00.000000000,,1200000,0,0,0,1,biotech,Midwest
92,Accordion Health,big data analytics|health care information technology|saas,150000,closed,USA,TX,1,7/2/2014,7/2/2014,1,0 days 00:00:00.000000000,,150000,0,0,0,1,healthcare,South
93,Accountable,b2b|cloud computing|enterprises|health and wellness|health care|network security|saas,158000,operating,USA,SC,2,8/1/2013,8/18/2014,1,382 days 00:00:00.000000000,382 days 00:00:00.000000000,158000,382,382,1,2,healthcare,South
94,Accriva Diagnostics,medical devices,15470704,operating,USA,CA,2,11/1/2010,3/10/2015,1,1590 days 00:00:00.000000000,1590 days 00:00:00.000000000,15470704,1590,1590,1,1,medical devices,West
95,Accu-Break Pharmaceuticals,biotechnology,6650000,operating,USA,FL,2,6/1/2007,5/21/2013,1,2181 days 00:00:00.000000000,2181 days 00:00:00.000000000,3325000,2181,2181,0,3,biotech,South
96,Accudial Pharmaceutical,biotechnology,12024769,operating,USA,FL,3,5/27/2010,5/30/2013,1,873 days 00:00:00.000000000,549 days 12:00:00.000000000,4008256.333,549,873,0,1,biotech,South
97,Accuhealth Partners,health and wellness,760000,operating,USA,KS,1,2/21/2011,2/21/2011,1,0 days 00:00:00.000000000,,760000,0,0,0,1,healthcare,Midwest
98,Accuitis,health and wellness,1495000,operating,USA,GA,2,3/20/2015,11/23/2015,1,248 days 00:00:00.000000000,248 days 00:00:00.000000000,747500,248,248,1,2,healthcare,South
99,AccuMED Technologies,medical,50000,operating,USA,NY,1,10/24/2014,10/24/2014,1,0 days 00:00:00.000000000,,14798342.08,0,0,1,2,medical/pharma,Northeast
100,Accumen,health care|hospitals,6700000,operating,USA,CA,1,6/1/2011,6/1/2011,1,0 days 00:00:00.000000000,,6700000,0,0,0,1,healthcare,West
101,Accumetrics,biotechnology,110640466,acquired,USA,CA,9,5/16/2003,8/30/2013,1,412 days 00:00:00.000000000,469 days 21:00:00.000000000,13830058.25,469,412,1,16,biotech,West
102,Accupal,medical,50000,operating,USA,AR,1,10/2/2008,10/2/2008,1,0 days 00:00:00.000000000,,14798342.08,0,0,0,1,medical/pharma,South
103,Accuri Cytometers,biotechnology,32655000,operating,USA,MI,8,3/1/2005,10/19/2010,1,184 days 00:00:00.000000000,294 days 00:00:00.000000000,4081875,294,184,1,8,biotech,Midwest
104,ACE,biotechnology|medical,1245092,operating,USA,PA,3,5/17/2010,6/20/2014,1,497 days 00:00:00.000000000,747 days 12:00:00.000000000,415030.6667,747,497,1,1,medical/pharma,Northeast
105,ACEA BIO,biotechnology,30000000,operating,USA,CA,1,11/9/2015,11/9/2015,1,0 days 00:00:00.000000000,,30000000,0,0,1,2,biotech,West
106,ACell,health and wellness,8700000,operating,USA,MD,1,4/26/2011,4/26/2011,1,0 days 00:00:00.000000000,,8700000,0,0,0,1,healthcare,South
107,AcelRx Pharmaceuticals,biotechnology|health care,93654902,ipo,USA,CA,5,11/23/2009,12/19/2013,1,302 days 00:00:00.000000000,371 days 18:00:00.000000000,18730980.4,371,302,1,1,healthcare,West
108,Acer Therapeutics,pharmaceuticals,2100000,operating,USA,MA,1,4/2/2015,4/2/2015,1,0 days 00:00:00.000000000,,2100000,0,0,1,1,medical/pharma,Northeast
109,Acera Surgical,health care,600000,operating,USA,MO,1,8/8/2013,8/8/2013,1,0 days 00:00:00.000000000,,600000,0,0,1,1,healthcare,Midwest
110,Acerta Pharma,biotechnology,1000000,closed,USA,CA,1,3/14/2013,3/14/2013,1,0 days 00:00:00.000000000,,24514914.83,0,0,0,2,biotech,West
111,Acesis,health care|physicians|software,3638201,operating,USA,CA,1,4/30/2010,4/30/2010,1,0 days 00:00:00.000000000,,3638201,0,0,0,1,healthcare,West
112,Acetylon Pharmaceuticals,biotechnology,151250000,operating,USA,MA,6,8/1/2009,7/29/2013,1,160 days 00:00:00.000000000,291 days 14:24:00.000000000,25208333.33,291,160,1,2,biotech,Northeast
113,Achaogen,biotechnology|health care,116605707,ipo,USA,CA,4,8/1/2004,3/22/2013,1,800 days 00:00:00.000000000,1051 days 16:00:00.000000000,29151426.75,1051,800,1,8,healthcare,West
114,Achelios Therapeutics,biotechnology,3170442,operating,USA,NC,1,3/14/2014,3/14/2014,1,0 days 00:00:00.000000000,,3170442,0,0,1,1,biotech,South
115,The Activity Exchange (AchieveMint),health and wellness|health care|mhealth|mobile,100000,operating,USA,CA,1,1/1/2012,1/1/2012,1,0 days 00:00:00.000000000,,21732739.24,0,0,0,3,healthcare,West
116,Achillion Pharmaceuticals,biotechnology|health care,91100000,ipo,USA,CT,2,1/28/2002,8/18/2010,1,3124 days 00:00:00.000000000,3124 days 00:00:00.000000000,45550000,3124,3124,1,15,healthcare,Northeast
117,Aciex Therapeutics,biotechnology,9599860,acquired,USA,MA,3,9/1/2007,4/24/2014,1,1441 days 00:00:00.000000000,1213 days 12:00:00.000000000,4799930,1213,1441,1,1,biotech,Northeast
118,Aclaris Therapeutics,biotechnology,82000000,ipo,USA,PA,3,10/24/2012,9/9/2015,1,708 days 00:00:00.000000000,525 days 00:00:00.000000000,27333333.33,525,708,1,10,biotech,Northeast
119,Acologix,biotechnology,40000000,operating,USA,CA,1,5/4/2004,5/4/2004,1,0 days 00:00:00.000000000,,40000000,0,0,1,4,biotech,West
120,Acorda Therapeutics,biotechnology|health care,76800000,ipo,USA,NY,3,5/20/2003,11/29/2006,1,289 days 00:00:00.000000000,644 days 12:00:00.000000000,25600000,644,289,1,8,healthcare,Northeast
121,Acrinta,fitness|health and wellness,130000,operating,USA,PA,1,6/12/2012,6/12/2012,1,0 days 00:00:00.000000000,,130000,0,0,0,1,healthcare,Northeast
122,ACS Global,biotechnology,3162000,ipo,USA,NJ,2,4/28/2011,7/1/2011,1,64 days 00:00:00.000000000,64 days 00:00:00.000000000,1581000,64,64,1,1,biotech,Northeast
123,ACT Biotech,biotechnology|health and wellness|medical|pharmaceuticals,26980000,operating,USA,CA,6,5/6/2008,6/11/2010,1,125 days 00:00:00.000000000,153 days 04:48:00.000000000,4496666.667,153,125,0,1,medical/pharma,West
124,Actimis Pharmaceuticals,biotechnology,15600000,acquired,USA,CA,2,4/28/2005,6/6/2008,1,1135 days 00:00:00.000000000,1135 days 00:00:00.000000000,7800000,1135,1135,1,2,biotech,West
125,Actinium Pharmaceuticals,biotechnology,7000720,ipo,USA,NY,2,11/3/2011,1/21/2014,1,810 days 00:00:00.000000000,810 days 00:00:00.000000000,3500360,810,810,1,1,biotech,Northeast
126,Actinobac Biomed,biotechnology,600000,operating,USA,NJ,2,3/20/2009,2/21/2013,1,1434 days 00:00:00.000000000,1434 days 00:00:00.000000000,300000,1434,1434,0,1,biotech,Northeast
127,Activaided Orthotics,fitness|medical|training,25000,operating,USA,PA,4,2/10/2012,9/22/2013,1,280 days 00:00:00.000000000,196 days 16:00:00.000000000,25000,196,280,1,2,medical/pharma,Northeast
128,Activate Healthcare,health care,950000,operating,USA,IN,3,1/6/2012,6/29/2015,1,971 days 00:00:00.000000000,635 days 00:00:00.000000000,950000,635,971,1,1,healthcare,Midwest
129,Activation Life,biotechnology,40000,operating,USA,MN,1,5/15/2013,5/15/2013,1,0 days 00:00:00.000000000,,40000,0,0,0,1,biotech,Midwest
130,Active Implants,biotechnology,99717506,operating,USA,TN,11,12/23/2004,8/28/2013,1,504 days 00:00:00.000000000,317 days 00:00:00.000000000,9065227.818,317,504,1,1,biotech,South
131,Active Life Scientific,biotechnology,925000,operating,USA,CA,3,4/20/2010,5/16/2013,1,90 days 00:00:00.000000000,561 days 00:00:00.000000000,308333.3333,561,90,0,1,biotech,West
132,ActiveO,health and wellness,600000,operating,USA,NV,1,6/15/2010,6/15/2010,1,0 days 00:00:00.000000000,,600000,0,0,0,1,healthcare,West
133,Acton Pharmaceuticals,biotechnology,36700005,acquired,USA,MA,4,12/16/2009,5/21/2013,1,21 days 00:00:00.000000000,417 days 08:00:00.000000000,9175001.25,417,21,1,1,biotech,Northeast
134,ActualMeds,health care,550000,operating,USA,CT,2,10/26/2011,5/16/2014,1,933 days 00:00:00.000000000,933 days 00:00:00.000000000,275000,933,933,1,2,healthcare,Northeast
135,ActX,biotechnology,2670394,operating,USA,WA,2,1/12/2014,7/18/2014,1,187 days 00:00:00.000000000,187 days 00:00:00.000000000,1335197,187,187,1,1,biotech,West
136,Acucela,biotechnology,439603,operating,USA,WA,1,9/4/2009,9/4/2009,1,0 days 00:00:00.000000000,,439603,0,0,0,1,biotech,West
137,AcuFocus,health care,104000000,operating,USA,CA,4,1/16/2007,9/3/2014,1,10 days 00:00:00.000000000,929 days 00:00:00.000000000,34666666.67,929,10,1,9,healthcare,West
138,Acuity Medical International,health care,1500321,operating,USA,MN,1,9/30/2010,9/30/2010,1,0 days 00:00:00.000000000,,1500321,0,0,0,1,healthcare,Midwest
139,Acuity Pharmaceuticals,health care|pharmaceuticals|technology,15000000,acquired,USA,PA,1,10/7/2004,10/7/2004,1,0 days 00:00:00.000000000,,15000000,0,0,1,6,medical/pharma,Northeast
140,Autism Acumen,medical|video,50000,operating,USA,CA,1,8/18/2014,8/18/2014,1,0 days 00:00:00.000000000,,14798342.08,0,0,1,1,medical/pharma,West
141,Acumen Pharmaceuticals,biotechnology|health diagnostics,2200000,operating,USA,CA,2,8/17/2006,5/15/2013,1,2463 days 00:00:00.000000000,2463 days 00:00:00.000000000,1100000,2463,2463,0,1,healthcare,West
142,Acupera,health care,10000000,operating,USA,CA,3,8/1/2011,8/12/2014,1,836 days 00:00:00.000000000,553 days 12:00:00.000000000,3333333.333,553,836,1,2,healthcare,West
143,Acura Pharmaceuticals,biotechnology,10300000,ipo,USA,IL,2,12/31/2013,8/27/2014,1,239 days 00:00:00.000000000,239 days 00:00:00.000000000,5150000,239,239,1,1,biotech,Midwest
144,Acurian,medical|pharmaceuticals|service providers,27000000,operating,USA,PA,1,3/28/2001,3/28/2001,1,0 days 00:00:00.000000000,,27000000,0,0,1,2,medical/pharma,Northeast
145,Acusphere,biotechnology|pharmaceuticals,10000000,ipo,USA,MA,2,7/7/2011,2/23/2012,1,231 days 00:00:00.000000000,231 days 00:00:00.000000000,5000000,231,231,1,1,medical/pharma,Northeast
146,Acustream,health care,2000000,operating,USA,CO,1,10/16/2013,10/16/2013,1,0 days 00:00:00.000000000,,2000000,0,0,1,1,healthcare,West
